n	k	approx	t_approx	exact	t_exact
530911	287285	0.3394201867928771	185	0.33942018679334723	334247025
928647	752401	0.610721347747671	198	0.6107213477479738	846871607
368425	184245	0.3069223327372198	195	0.3069223327381408	227185125
855928	412635	0.29316043970043437	178	0.2931604397006004	482644225
808259	620623	0.5584771724546449	176	0.5584771724549832	737756131
158802	71294	0.26854663189624095	162	0.2685466319008912	92285702
501354	349242	0.4805237448781158	196	0.48052374487882804	396800422
772367	537472	0.47978656561480504	186	0.47978656561510463	591915230
297858	156531	0.32687620533286466	185	0.32687620533432327	179617317
235287	126965	0.3382045104114312	178	0.33820451041381844	148681458
896981	8249	0.004612920433422318	198	0.004612920433493939	8839856
969556	633988	0.43840910198530536	196	0.4384091019854776	767177894
111979	3252	0.014667687029642162	274	0.01466768703636772	3367073
673137	176096	0.1439859329624148	216	0.14398593296263354	216995463
247203	95266	0.22370819310558798	210	0.2237081931073782	164874334
702445	320159	0.2735426987745946	185	0.2735426987748344	371886990
852076	829527	0.9012724804255866	178	0.9012724804278125	1000222677
950882	506872	0.33290378603693616	192	0.3329037860370817	615039223
109250	52419	0.29143914828551676	195	0.29143914829571804	51247397
983661	542870	0.34822833905202155	186	0.34822833905216016	618489646
389160	180638	0.27974047733351914	185	0.2797404773343075	218753060
992282	846996	0.6704376178945269	195	0.6704376178948582	1036462853
235134	29638	0.06585442304242872	193	0.06585442304404367	30060539
419565	83838	0.10732356732045456	235	0.10732356732098673	87218751
915711	293083	0.18050662576417043	192	0.18050662576429044	325190883
157454	8000	0.025848946121871053	188	0.02584894612533268	9794115
551194	24729	0.022776321460173166	150	0.02277632146048611	40256895
207026	135675	0.4398001529470287	187	0.4398001529508213	195998697
679979	415147	0.3984604649447816	193	0.3984604649451025	482738964
383971	74765	0.10437584611094564	184	0.10437584611158363	84695457
758646	644024	0.6636411400730375	199	0.6636411400735892	806193172
147314	125826	0.671248278347973	2456	0.6712482783630551	532697410
712198	314083	0.26277621881020186	3420	0.26277621881043034	424107476
836847	355068	0.2508003099823425	2738	0.2508003099825057	387241217
460079	87641	0.10194605630190734	2915	0.10194605630234899	97502017
837467	508705	0.3957050295205272	2486	0.39570502952073844	590080971
814132	759058	0.8045757878645567	2706	0.8045757878655488	881105717
579489	37275	0.032875486760017725	2578	0.0328754867602669	40752918
204090	199354	0.9105971121321789	2462	0.9105971121762776	206461309
879687	270296	0.17234817326004281	2365	0.17234817326017285	293400315
252821	211142	0.6441557702661693	2423	0.6441557702707753	233862312
578179	406827	0.4877633207910409	4253	0.48776332079158574	546569743
434067	137002	0.17766800112075853	4011	0.17766800112130252	224746074
752535	304848	0.23730034512657483	3473	0.23730034512677387	390524920
764072	630422	0.6303904044829147	3063	0.6303904044833941	691706613
785994	472487	0.3901364581268759	2709	0.3901364581271126	505785592
382231	306155	0.5988682192876094	2930	0.5988682192893274	349626761
217957	106646	0.29863871342067505	2487	0.2986387134232697	115566529
508442	401113	0.5837962328360586	3242	0.583796232836983	430786497
248070	201994	0.6160044578815718	2711	0.616004457885894	218059459
443055	193485	0.25967593901543784	2566	0.25967593901602865	205632079
211300	147640	0.482701265463951	2473	0.4827012654679814	159864139
337567	239078	0.4925493713801168	2462	0.4925493713817352	256959085
679328	119494	0.09361554249490411	2468	0.09361554249510619	144569715
934219	777652	0.6403741474991655	2613	0.6403741474994983	955773800
255653	228956	0.7365638830931891	2156	0.7365638830999311	234538404
706133	650927	0.7838393002804619	3467	0.7838393002816142	700877958
703292	392742	0.35364245980131126	2473	0.353642459801587	425566907
724680	643127	0.7229937257408874	3059	0.7229937257416716	848733141
928878	415081	0.26702441518186626	823	0.26702441518200215	487468413
103685	65914	0.4213454440279376	1054	0.42134544404245244	83751221
391318	154514	0.23020860819350086	842	0.23020860819422342	158062695
788140	696416	0.7167096307028471	585	0.7167096307034906	787863868
212482	167972	0.5857933626378704	711	0.5857933626431989	182288427
539587	225096	0.24575599270191162	650	0.24575599270229956	238877240
147078	111520	0.5473027767597793	855	0.5473027767696724	132177650
808134	784321	0.8929923543881957	706	0.8929923543904245	889051206
809341	609347	0.5411845303357908	942	0.5411845303361124	675270983
472747	216398	0.27499038446928026	592	0.2749903844698118	246866778
664286	64401	0.05012173575303236	716	0.05012173575323322	72565284
218288	34106	0.08254365016205534	1000	0.08254365016396109	54130094
270231	8760	0.016388241030312334	828	0.016388241031432306	11882067
615108	474371	0.562424106868163	670	0.5624241068687548	648529505
357800	297409	0.6387356440038613	3553	0.6387356440061152	408849797
807471	276710	0.19516946317807315	779	0.19516946317823272	329840538
341438	184869	0.33968500718239236	682	0.33968500718353006	233754959
882622	647556	0.5197339426876728	957	0.5197339426879273	689466123
836266	466743	0.35338798873916044	651	0.35338798873935484	706912976
848879	71063	0.04307704994755868	682	0.04307704994768103	83481399
875966	17543	0.010081611838836935	652	0.010081611839000828	39172356
464213	82707	0.09490317098557777	846	0.0949031709860096	97105138
648995	271002	0.24604373318299022	775	0.24604373318325742	281034576
412648	386814	0.8149419315395552	689	0.8149419315437082	443432337
604890	596818	0.9416179339858998	701	0.9416179339945462	666710818
755053	417636	0.3492456310442822	771	0.349245631044518	475652401
761869	291111	0.22147548181506882	654	0.22147548181525653	333746339
257438	105739	0.24124064146760837	755	0.24124064146930566	100668103
978641	692862	0.4922824623316632	793	0.4922824623318559	815899680
