n	k	approx	t_approx	exact	t_exact
94873	40059	0.249347361344832000	500	0.249347361357473000	58879459
12712	5772	0.272319666183114000	473	0.272319666913133000	6816799
27841	21577	0.566966507902023000	487	0.566966508194649000	23644258
19785	16284	0.627678432746200000	474	0.627678433453970000	19015752
33958	33883	0.986478259421575000	478	0.986478275600840000	50829256
63818	62116	0.900702637014710000	826	0.900702637408316000	65835743
20374	14913	0.517887905583411000	566	0.517887906058187000	16128470
2425	1873	0.564017392989889000	479	0.564017431130281000	1921231
97425	94200	0.883324840546099000	513	0.883324840683061000	117530335
97646	72870	0.533700450903402000	492	0.533700450924994000	101961534
90240	29137	0.182324169386885000	565	0.182324169399558000	31193092
18607	1063	0.029151435622968700	443	0.029151435870933400	8468814
6885	2607	0.219203020183273000	481	0.219203022476227000	54775905
687	523	0.551539566862353000	1179	0.551540022051629000	5689249
20078	12588	0.413310680126160000	859	0.413310680506531000	44094054
6545	5662	0.687684088687613000	585	0.687684096860602000	5549728
72099	35568	0.301720321449769000	590	0.301720321473603000	63016479
72330	27326	0.218559198899315000	493	0.218559198920079000	30454373
98207	15757	0.084900369691398100	362	0.084900369700864200	17407026
48548	33624	0.476453110537770000	571	0.476453110612952000	35254916
91612	11893	0.067921792963758200	564	0.067921792974428400	12313105
62463	30397	0.296619293904445000	615	0.296619293935926000	33369253
74439	4882	0.033540017188514700	416	0.033540017204082200	4705225
16819	10169	0.393236129048248000	507	0.393236129567991000	10998557
10066	7930	0.582484967919616000	1197	0.582484970267592000	12140109
13008	5930	0.273650425079154000	601	0.273650425777833000	18661059
36968	32974	0.730477338257789000	542	0.730477338570397000	34380556
84166	51420	0.398828213432516000	619	0.398828213453516000	64307455
10523	8757	0.640102497175342000	505	0.640102499792221000	9149381
74945	28054	0.216213340759322000	589	0.216213340778596000	30414125
72441	23840	0.186330895543522000	571	0.186330895563296000	23609440
39340	205	0.002622737692639870	412	0.002622737746605740	177250
53117	25226	0.287760694711954000	259	0.287760694754845000	26628908
16534	15674	0.837827353415777000	530	0.837827356494905000	13777301
54370	5836	0.055708972874281700	510	0.055708972904165600	6608186
38929	11214	0.160294087312050000	523	0.160294087378160000	12155758
40915	9450	0.125581800383789000	586	0.125581800441042000	11668203
56727	16525	0.162314589242135000	487	0.162314589273353000	28519500
62781	12990	0.111442779759664000	407	0.111442779783564000	14904285
24743	9317	0.217729412813041000	471	0.217729412990250000	9818651
31974	1981	0.031654289724612200	381	0.031654289808812500	1894127
60814	56296	0.791366874758413000	388	0.791366874921292000	67471194
21814	14610	0.453724252161887000	831	0.453724252514539000	18100525
65377	23710	0.208385495235444000	501	0.208385495260487000	30797099
49171	21193	0.255595059323412000	462	0.255595059370930000	19185827
614	294	0.291508405283956000	240	0.291508726686688000	292929
19948	7727	0.225085073819676000	451	0.225085074095275000	8578140
69875	42436	0.395605198599315000	606	0.395605198629579000	46346977
15339	12677	0.632278692661039000	572	0.632278693858099000	13445854
88174	41237	0.282347900703338000	380	0.282347900718765000	43657892
69645	64510	0.792463464307067000	363	0.792463464432142000	69671788
49139	48968	0.980242406878908000	655	0.980242411825844000	95956175
91534	29599	0.182634542803086000	559	0.182634542815409000	37223393
63252	7756	0.063990147681693500	464	0.063990147703977300	7476141
413	290	0.487464785921817000	218	0.487465841226305000	360674
