n	k	approx	t_approx	exact	t_exact
125	1	0.007994709282453272	342	0.008	7796
126	1	0.00793130053300306	282	0.007936507936507936	572
127	1	0.007868889705802573	294	0.007874015748031496	565
128	1	0.007807453427236766	1654	0.0078125	6689
129	1	0.007746969047275343	284	0.007751937984496124	592
130	1	0.007687414612945531	309	0.007692307692307693	583
131	1	0.007628768840767464	294	0.007633587786259542	544
132	1	0.0075710110920939044	296	0.007575757575757576	587
133	1	0.0075141213483540525	290	0.007518796992481203	548
134	1	0.0074580801886074966	306	0.007462686567164179	543
135	1	0.007402868766495985	315	0.007407407407407408	533
136	1	0.007348468790072893	305	0.007352941176470588	596
137	1	0.007294862500778265	302	0.0072992700729927005	580
138	1	0.007242032654940722	298	0.007246376811594203	537
139	1	0.00718996250429349	301	0.007194244604316547	585
140	1	0.007138635779054603	315	0.007142857142857143	591
141	1	0.007088036671202502	300	0.0070921985815602835	579
142	1	0.007038149816757766	301	0.007042253521126761	561
143	1	0.006988960282169998	299	0.006993006993006993	574
144	1	0.006940453548037517	301	0.006944444444444444	541
145	1	0.006892615495289078	297	0.006896551724137931	543
146	1	0.006845432391648032	293	0.00684931506849315	567
147	1	0.006798890878128461	285	0.006802721088435374	529
148	1	0.006752977956701045	310	0.006756756756756757	579
149	1	0.006707680977914521	296	0.006711409395973154	587
150	1	0.006662987629908024	302	0.006666666666666667	570
151	1	0.006618885925989915	307	0.006622516556291391	551
152	1	0.006575364195497535	288	0.006578947368421052	584
153	1	0.006532411072683431	294	0.006535947712418301	557
154	1	0.00649001548599859	300	0.006493506493506494	583
155	1	0.0064481666508378055	298	0.0064516129032258064	561
156	1	0.006406854057553701	306	0.00641025641025641	561
157	1	0.0063660674650982685	300	0.006369426751592357	557
158	1	0.006325796891385238	305	0.006329113924050633	565
159	1	0.0062860326048781445	303	0.006289308176100629	663
160	1	0.006246765117745134	342	0.00625	5820
161	1	0.0062079851774967665	284	0.006211180124223602	620
162	1	0.006169683759979172	314	0.006172839506172839	565
163	1	0.006131852062383203	299	0.006134969325153374	566
164	1	0.0060944814966958916	315	0.006097560975609756	569
165	1	0.006057563682677625	288	0.006060606060606061	584
166	1	0.006021090442128951	306	0.006024096385542169	555
167	1	0.005985053792695538	300	0.005988023952095809	567
168	1	0.005949445941677567	297	0.005952380952380952	586
169	1	0.0059142592811554096	297	0.005917159763313609	554
170	1	0.005879486381675569	298	0.0058823529411764705	547
171	1	0.00584511998801851	304	0.005847953216374269	556
172	1	0.005811153013210557	303	0.005813953488372093	568
173	1	0.00577757853415406	286	0.005780346820809248	578
174	1	0.005744389786785042	315	0.005747126436781609	554
175	1	0.005711580161561258	312	0.005714285714285714	562
176	1	0.005679143199709635	350	0.005681818181818182	4883
177	1	0.005647072586981494	307	0.005649717514124294	598
178	1	0.00561536215256897	298	0.0056179775280898875	584
179	1	0.005584005862104391	295	0.00558659217877095	653
180	1	0.005552997816096195	297	0.005555555555555556	574
181	1	0.005522332245572414	296	0.0055248618784530384	575
182	1	0.005492003506978982	301	0.005494505494505495	558
183	1	0.0054620060815864235	296	0.00546448087431694	566
184	1	0.005432334569975161	297	0.005434782608695652	555
185	1	0.00540298368894554	298	0.005405405405405406	566
186	1	0.005373948269523865	293	0.005376344086021506	565
187	1	0.005345223253385711	300	0.0053475935828877	543
188	1	0.005316803688752536	301	0.005319148936170213	529
189	1	0.005288684729901405	297	0.005291005291005291	544
190	1	0.005260861632043756	300	0.005263157894736842	568
191	1	0.005233329750552684	299	0.005235602094240838	590
192	1	0.005206084536457212	300	0.005208333333333333	538
193	1	0.005179121536514231	318	0.0051813471502590676	587
194	1	0.005152436387689363	306	0.005154639175257732	540
195	1	0.005126024817700525	303	0.005128205128205128	558
196	1	0.005099882640408282	294	0.00510204081632653	535
197	1	0.005074005755279387	298	0.005076142131979695	582
198	1	0.005048390144457571	298	0.005050505050505051	581
199	1	0.005023031870750927	292	0.005025125628140704	541
200	1	0.004997927075582886	331	0.005	6116
201	1	0.004973071977175891	289	0.004975124378109453	604
202	1	0.0049484628689082655	302	0.0049504950495049506	591
203	1	0.0049240961167225095	310	0.0049261083743842365	577
204	1	0.004899968158040835	290	0.004901960784313725	572
205	1	0.004876075499684163	296	0.004878048780487805	562
206	1	0.004852414716393305	299	0.0048543689320388345	541
207	1	0.004828982448884744	315	0.004830917874396135	582
208	1	0.00480577540273508	300	0.004807692307692308	595
209	1	0.004782790346126831	301	0.004784688995215311	568
210	1	0.004760024109065064	292	0.004761904761904762	604
211	1	0.00473747358156551	287	0.004739336492890996	563
212	1	0.004715135712727303	303	0.0047169811320754715	564
213	1	0.004693007507981406	288	0.004694835680751174	537
214	1	0.004671086029469862	288	0.004672897196261682	636
215	1	0.004649368393495834	283	0.004651162790697674	593
